sku;Descrição;Novo Pr.Custo Real;custo;Novo Pr. Venda 3
10033;MAZ - TINGIDOR BETUME 200ML MOCOCA/VELADURA;11,0413;63,32;36,5271
10073;MAZ - THINNER 116 MAZA 5L;50,9141;46,89;143,26
10084;MAZ - EPOXI CINZA CLARO M298 II MAZA C/CAT;220,1653;56,13;577,0469
10088;MAZ - ESM BR LARANJA IMPERIAL MAZA 225ML;11,7025;58,95;33,3915
9547;MAZ - ESM BR CAMURCA MAZA 3,6L;70,2149;19,29;89,1672
7481;MAZ - FUNDO BRANCO FSC NIVELADOR MAZA 3.6L;87,6426;50,1;281,4966
10278;MAZ - ACR ULTRA MARROM COUNTRY MAZA 18L;179,4601;23,66;242,74
10322;MAZ - ACR ULTRA CAMURCA MAZA 3,6L;60,7493;20,86;78,8792
10323;MAZ - ACR ULTRA BISCOITO DE LEITE MAZA 3,6L;60,7603;20,86;78,8907
10363;MAZ - PAV DEMARCACAO VIARIA VERMELHO MAZA 18L;470,865;47,94;998,0841
10364;MAZ - PAV DEMARCACAO VIARIA CINZA MEDIO MAZA 18L;470,865;48,01;999,7753
10367;MAZ - ZARCAO CINZA ESCURO MAZA 900ML;22,7769;67,76;89,9021
10368;MAZ - ZARCAO CINZA ESCURO MAZA 3.6L;76,2755;67,43;296,8765
10369;MAZ - SELADOR ACR MAZA BALDE 18L;76,8926;55,99;200,7563
10370;MAZ - PAV DEMARCACAO VIARIA VERDE MAZA 18L;470,865;55,78;1221,9354
10375;MAZ - SILICONE MAZA 18L;417,3444;49,44;916,766
10378;MAZ - ACR ULTRA AZUL PROFUNDO MAZA 18L;179,4601;23,66;242,74
10380;MAZ - ACR ULTRA AREIA MAZA 18L;179,4601;23,66;242,74
10387;MAZ - EPOXI VERNIZ KIT MAZA 3,6L;194,1157;56,13;508,7783
10388;MAZ - MASSA EPOXI KIT MAZA 3,6L;214,4683;64,95;754,2722
10502;MAZ - ESM BR AZUL FRANCA MAZA 18L;341,3333;46,98;707,6825
10613;MAZ - THINNER 800 MAZA 18L;181,9381;38,95;391,63
10618;IND - MICROESFERA 1KG;14,1031;57,02;65,2158
10621;MAZ - PRIMER EPOXI FUNDO CINZA MEDIO M295 II MAZA C/CAT (KIT);215,9669;56,13;566,046
10632;MAZ - MAZAPREN PAREDE 18KG;146,4573;55,81;380,377
10644;MAZ - ESM OURO DIRETO NA FERRUGEM MAZA 900ML;32,7713;16,53;40,0693
10671;MAZ - EPOXI AZUL DEL REY M298 II MAZA C/CAT;220,1653;56,13;577,0469
10678;MAZ - ESM OURO ANTIGO MET DIRETO NA FERRUGEM MAZA 900ML;32,7713;16,53;40,0693
10679;MAZ - ESM BR ALUMINIO MAZA 18L;443,6364;46,98;919,7928
10686;MAZ - DILUENTE EPOXI MAZA 5L;143,354;48,38;428,02
10771;MAZ - PAV DEMARCACAO VIARIA PRETO MAZA 3,6L;105,4325;63,18;347,081
10825;MAZ - KIT EPOXI CLEAR 3X1 MAZA C/ CAT;224,9477;50,3;504,6378
10830;MAZ - PRIMER ACAB AZUL FRANCA MAZA 18L;381,697;49,06;830,7972
10853;MAZ - ESM BR AMARELO MAZA 18L;341,3444;46,98;707,7093
10891;MAZ - SPRAY ALTA TEMP ALUMINIO MAZA;15,6915;20,6;20,3
10892;MAZ - SPRAY ALTA TEMP PRETO MAZA;15,6915;20,6;20,3
