sku;Descrição;Novo Pr.Custo Real;custo;Novo Pr. Venda 3
9292;DAR - PENEIRA COADOR DARBAK;0,4674;65,45;4,6541
10034;DIV - TELA FIX 5M;20,7973;54,32;82,0824
10262;ITEM ESPECIAL;1,0028;67,29;3,8786
12840;CLU - BICICLETA ARO 26 CLUBE;490,0055;68,69;2015,3808
18077;CLU - BICICLETA ARO 26 CAMPANHAS FORNECEDORES;490,0055;68,69;2015,3808
8073;SUV - ESM BR COR & PROT CINZA MEDIO SUVINIL 3.6L;111,1736;11,83;127,836
9639;SUV - VERNIZ MARIT MADEIRA PROTEGIDA BRILHANTE SUVINIL 3.6L;98,1928;48,27;209,774
5259;SUV - ESM AGUA BR TABACO SUVINIL 3.6L;100,6612;19,29;127,836
9665;SUV - ESM BR COR & PROT PLATINA SUVINIL 3.6L;111,1736;11,83;127,836
9319;SUV - ACR SB TOQUE BRILHO BRANCO SUVINIL 18L;609,4545;44,66;1199,92
5404;SUV - ACR TS TOQUE DE SEDA BRANCO SUVINIL 18L;597,5317;43,14;1138,864
5406;SUV - ACR FC COMPLETO GELO SUVINIL 3.6L;125,9614;54,57;315,986
5418;SUV - ACR FC COMPLETO AREIA SUVINIL 3.6L;134,4132;40,17;241,15
9287;SUV - ACR TS TOQUE DE SEDA BRANCO SUVINIL 3.6L;154,6336;44,23;301,676
5441;SUV - ACR RM CAMURCA SUVINIL 18L;286,832;51,3;659,744
5493;SUV - ESM BR COR & PROT CINZA ESC. SUVINIL 900ML;34,4463;60,32;102,714
5548;SUV - ESM ACET COR & PROT VERDE COLONIAL SUVINIL 3.6L;116,4518;60,24;346,408
5554;SUV - ESM ACET COR & PROT MARROM BARROCO SUVINIL 3.6L;116,4408;60,25;346,408
5577;GLA - ESM ACET BRANCO GLASU 3.6L;106,4353;52,43;252,068
5800;SUV - ESM AGUA BR GELO SUVINIL 3.6L;100,6612;19,29;127,836
9655;SUV - ACR FC COMPLETO PALHA SUVINIL 3.6L;125,9614;43,64;242,634
5805;SUV - ESM FC COR & PROT PRETO SUVINIL 3.6L;121,741;36,55;203,838
5845;SUV - FUNDO EPOXI SOLV BRANCO SUVINIL 2.7L;184,1543;52,44;436,19
5841;SUV - ESMALTE GRAFITE ESCURO SUVINIL 3.6L;126,9201;59,89;373,226
6753;SUV - VERNIZ AGUA PROTECAO TRIPLA NATURAL SUVINIL 900ML;36,7934;64,52;127,306
5866;SUV - ACR FC COMPLETO PALHA SUVINIL 18L;486,6336;16,54;595,084
9784;SUV - ACR FC COMPLETO BRANCO SUVINIL 3.6L;125,9614;24,99;173,84
9587;SUV - ESM BR COR & PROT CINZA ESC. SUVINIL 3.6L;111,1736;11,83;127,836
5607;SUV - SELADORA MADEIRA SUVINIL 3.6L;120,7603;48,59;259,912
6081;SUV - VERNIZ STAIN PROTETOR NATURAL SUVINIL 900ML;47,9669;62,17;152,322
6105;SUV - ESM BR COR & PROT AZUL FRANCA SUVINIL 3.6L;111,1736;11,83;127,836
6325;SUV - AGUA RAZ SUVINIL 5L;80,8821;22,98;124,338
5489;SUV - VERNIZ AGUA PROTECAO TRIPLA MOGNO SUVINIL 3,6L;128,6832;60,86;390,716
9375;SUV - ESM AGUA BRIL BRANCO SUVINIL 3.6L;100,6612;19,29;127,836
6545;SUV - VERNIZ STAIN PROTETOR MOGNO SUVINIL 900ML;49,741;61,14;152,428
6648;SUV - ESM AGUA BR VERDE SUVINIL 900ML;30,6887;64,32;105,364
9128;SUV - ACR FC COMPLETO GELO SUVINIL 18L;486,6336;16,54;595,084
6743;SUV - ESM AGUA BR MARFIM SUVINIL 900ML;33,8953;61,56;105,364
6744;SUV - VERNIZ LONGA DURAÇÃO ULTRA PROTECAO NATURAL 3.6L;204,7383;59,47;593,918
7247;SUV - ESM AGUA BR MARFIM SUVINIL 3.6L;100,6612;19,29;127,836
7784;SUV - ESM AGUA BR AZUL DEL REY SUVINIL 900ML;31,2287;63,85;105,364
9284;SUV - ACR FC COMPLETO BRANCO SUVINIL 18L;486,6336;15,67;588,194
6092;SUV - ACR FC COMPLETO ALGODAO EGIPCIO SUVINIL 18L;486,6336;16,54;595,084
9403;SUV - ESM BR COR & PROT VERDE COL. SUVINIL 3.6L;111,1736;11,83;127,836
6945;SUV - ESM AGUA BR PLATINA SUVINIL 3.6L;100,6612;19,29;127,836
6943;SUV - ACR RM PALHA RENDE MUITO SUVINIL 3,6L;74,2259;63,65;248,57
7039;SUV - TOQUE FOSCO AREIA (LATEX CLASSICA) SUVINIL 18L;400,6722;45,82;809,204
5905;SUV - ACR FC COMPLETO ALGODAO EGIPCIO SUVINIL 3.6L;125,9614;52,68;300,298
7066;SUV - VERNIZ TRIPLA PROTEÇÃO F. SOLAR MOGNO SUVINIL 3.6L;137,2231;50,64;310,474
7084;SUV - PISO CINZA ESCURO SUVINIL 18L;267,8237;44,26;522,792
6007;SUV - ACR SB TOQUE BRILHO BRANCO SUVINIL 3.6L;157,7631;33,9;251,856
7210;SUV - ESM BR COR & PROT TABACO SUVINIL 900ML;34,4463;67,34;133,56
7206;SUV - ESM BR COR & PROT LARANJA SUVINIL 900ML;34,4463;67,34;133,56
7212;SUV - ESM BR COR & PROT AREIA SUVINIL 900ML;30,9642;69,71;133,56
7238;SUV - VERNIZ LONGA DURAÇÃO ULTRA PROTECAO IMBUIA 3.6L;204,7383;59,47;593,918
7237;SUV - ESM ACET COR & PROT PLATINA SUVINIL 3.6L;116,4518;60,24;346,408
7262;SUV - VERNIZ AGUA PROTECAO TRIPLA NATURAL SUVINIL 3,6L;116,7713;54,05;288,744
7282;SUV - ESM AGUA BR VERMELHO SUVINIL 3.6L;100,6612;19,29;127,836
7319;SUV - SELADOR ACR SUVINIL 18L;143,0744;52,76;341,744
7326;SUV - ESM AGUA BR AMARELO SUVINIL 3.6L;100,6612;19,29;127,836
7361;SUV - ESM BR COR & PROT PRETO SUVINIL 3.6L;111,1736;11,83;127,836
7470;SUV - ESM BR COR & PROT AREIA SUVINIL 3.6L;105,8402;15,61;127,836
7934;SUV - ESM BR COR & PROT AZUL DEL REY SUVINIL 900ML;34,4463;67,34;133,56
7498;SUV - ACR RM AREIA RENDE MUITO SUVINIL 3,6L;80,584;42,37;151,156
9488;SUV - PISO BRANCO SUVINIL 3.6L;67,5923;33,91;107,908
7537;SUV - PISO AZUL SUVINIL 3.6L;67,5923;58,81;192,072
7539;SUV - VERNIZ STAIN PROTETOR NATURAL SUVINIL 3.6L;157,5096;60,8;477,21
7553;SUV - ESM BR COR & PROT AZUL FRANCA SUVINIL 900ML;32,5179;68,66;133,56
7570;SUV - VERNIZ STAIN PROTETOR IMBUIA SUVINIL 3.6L;162,4242;57,9;448,698
7602;SUV - ESM BR COR & PROT CINZA MEDIO SUVINIL 900ML;34,4463;67,34;133,56
7655;SUV - TOQUE FOSCO PALHA (LATEX CLASSICA) SUVINIL 3,6L;97,2011;64,92;341,532
7683;SUV - PISO VERDE SUVINIL 3.6L;67,5923;66,18;249,63
7731;SUV - PISO CINZA SUVINIL 18L;267,8237;37,29;454,634
7743;SUV - ACR RM GELO RENDE MUITO SUVINIL 18L;311,416;40,77;565,404
7747;SUV - ESMALTE GRAFITE ESCURO SUVINIL 900ML;39,3388;65,12;139,284
7755;SUV - ESM BR COR & PROT ALUMINIO SUVINIL 3.6L;143,8347;19,28;182,638
7778;SUV - ESM BR COR & PROT PLATINA SUVINIL 900ML;34,4683;60,33;102,82
7798;SUV - ESM BR COR & PROT TABACO SUVINIL 3.6L;107,7135;14,28;127,836
7831;SUV - ESM BR COR & PROT LARANJA SUVINIL 3.6L;111,1736;11,83;127,836
7849;SUV - ESM FC COR & PROT VERDE ESCOLAR SUVINIL 900ML;37,719;57,18;101,972
7850;SUV - ESM BR COR & PROT GELO SUVINIL 900ML;32,8154;61,76;102,714
7943;SUV - PISO CINZA SUVINIL 3.6L;67,5923;66,18;249,63
7948;SUV - ESM BR COR & PROT CAMURCA SUVINIL 3.6L;105,8512;15,61;127,836
7952;SUV - ESM BR COR & PROT CAMURCA SUVINIL 900ML;30,9642;69,71;133,56
7971;SUV - EPOXI MULTISSUPERFICIES AGUA BRANCO SUVINIL 900ML;58,27;58,89;165,996
8030;SUV - ACR RM PALHA RENDE MUITO SUVINIL 18L;311,416;46,42;637,484
8052;SUV - ESM BR COR & PROT MARROM CONH. SUVINIL 900ML;34,4463;60,32;102,714
8066;SUV - ESM FC COR & PROT VERDE ESCOLAR SUVINIL 3.6L;121,741;60,7;367,608
8157;SUV - MASSA MADEIRA SUVINIL 3.6L;53,1821;50,71;175,536
8159;SUV - TOQUE FOSCO GELO (LATEX CLASSICA) SUVINIL 18L;375,5262;47,79;793,198
8166;SUV - ESM ACET COR & PROT AREIA SUVINIL 3.6L;116,4518;60,24;346,408
8189;SUV - ESM ACET COR & PROT MARROM BARROCO SUVINIL 900ML;36,1322;67,17;139,072
8207;SUV - ESM BR COR & PROT MARFIM SUVINIL 3.6L;105,8402;15,61;127,836
8262;SUV - ESM AGUA BR AZUL DEL REY SUVINIL 3.6L;100,6612;19,29;127,836
8270;SUV - VERNIZ TRIPLA PROTEÇÃO F. SOLAR IMBUIA SUVINIL 3.6L;137,2231;45,27;273,798
8282;SUV - FUNDO PREP PAREDES SUVINIL 18L;265,9063;57,75;731,294
8302;SUV - ACR TETOS BRANCO SUVINIL 3.6L;120,7383;47,02;250,584
8314;SUV - ESM BR COR & PROT COLORADO SUVINIL 900ML;34,4463;67,34;133,56
8334;SUV - VERNIZ STAIN PROTETOR MOGNO SUVINIL 3.6L;162,4242;57,9;448,698
8389;SUV - FUNDO BRANCO AGUA SECA RAP. SUVINIL 900ML;35,8678;55,04;91,16
8408;SUV - VERNIZ TINGE & PROTEGE MOGNO SUVINIL 900ML;33,7961;63,19;111,3
8422;SUV - ESM BR COR & PROT VERMELHO SUVINIL 3.6L;111,1736;11,83;127,836
8446;SUV - ACR RM CAMURCA RENDE MUITO SUVINIL 3,6L;74,2259;54,27;184,652
8455;SUV - ESM ACET COR & PROT BRANCO SUVINIL 900ML;36,1322;67,17;139,072
8467;SUV - ESM BR COR & PROT COLORADO SUVINIL 3.6L;111,1736;11,83;127,836
8496;SUV - ESM ACET COR & PROT VERDE COLONIAL SUVINIL 900ML;35,2948;67,72;139,072
8516;SUV - ACR RM AREIA RENDE MUITO SUVINIL 18L;286,8209;57,21;776,132
8540;SUV - SELADOR ACR SUVINIL 3.6L;37,2011;68;148,4
8552;SUV - SELATRINCA SUVINIL TUBO;45,1821;50,2;145,75
8557;SUV - CORANTE LARANJA GLASU 50ML;3,8898;64,32;13,356
8570;SUV - ACR RM BRANCO RENDE MUITO SUVINIL 18L;286,832;14,58;341,744
8565;SUV - VERNIZ AGUA PROTECAO TRIPLA MOGNO SUVINIL 900ML;40,5289;62,72;131,228
8584;SUV - ESM AGUA BR VERMELHO SUVINIL 900ML;33,8953;61,56;105,364
8601;SUV - ACR FACHADA PROTEGIDA EMBORRACHADA BRANCO SUVINIL 3,6L;163,2727;49,21;356,69
8611;SUV - PISO VERMELHO SUVINIL 3.6L;67,5923;61,99;213,272
8633;SUV - ESM AGUA ACET BRANCO SUVINIL 900ML;34,3471;53;82,574
8635;SUV - ESM BR COR & PROT PRETO SUVINIL 900ML;34,4463;67,34;133,56
8650;SUV - CORANTE CASTANHO GLASU 50ML;3,8898;61,28;11,978
8672;SUV - CORANTE AMARELO GLASU 50ML;3,8898;64,32;13,356
8708;SUV - PISO AMARELO SUVINIL 3.6L;67,5923;57,91;186,772
8734;SUV - PISO BRANCO SUVINIL 18L;267,8237;52,71;638,968
8741;SUV - CORANTE VERMELHO GLASU 50ML;3,8898;64,32;13,356
8744;SUV - PISO VERDE SUVINIL 18L;267,8237;44,26;522,792
8757;SUV - CORANTE VERDE GLASU 50ML;3,8898;61,28;11,978
8778;SUV - ESM BR COR & PROT CERAMICA SUVINIL 3.6L;111,1625;11,84;127,836
8795;SUV - TOQUE FOSCO GELO (LATEX CLASSICA) SUVINIL 3,6L;91,2727;66,5;341,532
8816;SUV - ESM AGUA BR GELO SUVINIL 900ML;31,2287;62,25;99,428
8811;SUV - VERNIZ LONGA DURAÇÃO ULTRA PROTECAO MOGNO 3.6L;204,7383;59,47;593,918
8819;SUV - ESMALTE GRAFITE CLARO SUVINIL 3.6L;126,9201;59,89;373,226
8824;SUV - PISO CERAMICA SUVINIL 18L;267,8237;42,63;505,09
8830;SUV - ESM BR COR & PROT MARFIM SUVINIL 900ML;32,8154;60,77;99,322
8829;SUV - ACR RM BRANCO RENDE MUITO SUVINIL  900ML;26,1933;56,64;65,826
8848;SUV - ESM BR COR & PROT VERDE FOLHA SUVINIL 900ML;34,4683;60,33;102,82
8888;SUV - TOQUE FOSCO BRANCO (LATEX CLASSICA) SUVINIL 18L;375,5152;42,38;704,582
8893;SUV - ESM ACET COR & PROT GELO SUVINIL 900ML;36,1322;67,17;139,072
8894;SUV - ESM BR COR & PROT VERDE COL. SUVINIL 900ML;32,5179;68,66;133,56
8899;SUV - VERNIZ AGUA PROTECAO TRIPLA IMBUIA SUVINIL 3,6L;128,6832;52,31;303,796
8227;SUV - ESM BR COR & PROT AMARELO OURO SUVINIL 3.6L;111,1736;11,83;127,836
8979;SUV - PISO PRETO SUVINIL 3.6L;67,5923;33,91;107,908
9000;SUV - VERNIZ STAIN PROTETOR IMBUIA SUVINIL 900ML;49,741;60,07;147,128
9024;SUV - VERNIZ ACRILICO SUVINIL 3.6L;102,8099;59,31;296,8
9027;SUV - PISO CONCRETO SUVINIL 18L;267,8237;42,39;502,546
9032;SUV - CORANTE OCRE GLASU 50ML;3,8898;61,28;11,978
9033;SUV - VERNIZ PROTEÇÃO TRIPLA F. SOLAR NATURAL BRILHANTE SUVINIL 900ML;39,2176;60,39;117,236
9037;SUV - ESM AGUA BR PRETO SUVINIL 3.6L;100,6612;19,29;127,836
9042;SUV - VERNIZ MARIT MADEIRA PROTEGIDA FOSCO SUVINIL 900ML;34,292;65,76;124,55
9052;SUV - VERNIZ MARIT MADEIRA PROTEGIDA ACETINADO SUVINIL 3.6L;109,7851;60,49;329,236
9089;SUV - ESM ACET COR & PROT GELO SUVINIL 3.6L;116,4518;59,32;336,232
9111;SUV - ESM BR COR & PROT CERAMICA SUVINIL 900ML;32,5179;68,66;133,56
8246;SUV - ESM BR COR & PROT GELO SUVINIL 3.6L;105,8402;15,61;127,836
9149;SUV - ESM BR COR & PROT AZUL DEL REY SUVINIL 3.6L;111,1625;11,84;127,836
9181;SUV - ACR RM BRANCO RENDE MUITO SUVINIL 3,6L;80,584;33,26;127,2
9185;SELF - GEL P/ EFEITOS SUVINIL 800ML;32,7383;69,22;138,012
9363;SUV - TINTA EPOXI SOLV  BRANCO SUVINIL 2.7L;224,1212;52,44;530,848
9215;SUV - ESM AGUA BR TABACO SUVINIL 900ML;31,2287;59,03;89,358
9232;SUV - ESM ACET COR & PROT AREIA SUVINIL 900ML;36,1322;67,17;139,072
9244;SUV - ESM AGUA BR BRANCO SUVINIL 900ML;31,2176;51,62;72,398
9248;SUV - ESM AGUA ACET BRANCO SUVINIL 3.6L;110,7658;19,29;140,662
9283;SUV - FUNDO PREP PAREDES SUVINIL 3.6L;66,4793;53,55;162,18
9288;SUV - TOQUE FOSCO BRANCO (LATEX CLASSICA) SUVINIL 900ML;30,0055;68,7;123,49
9291;SUV - ESM BR COR & PROT AMARELO OURO SUVINIL 900ML;34,4463;67,34;133,56
9294;SUV - FUNDO BRANCO FSC SUVINIL 3.6L;109,0799;54,98;276,766
9300;SUV - VERNIZ MARIT MADEIRA PROTEGIDA ACETINADO SUVINIL 900ML;34,5895;63,53;115,328
9302;SUV - ESM BR COR & PROT BRANCO SUVINIL 900ML;32,8154;60,77;99,322
7759;SUV - PISO PRETO SUVINIL 18L;267,8237;42,63;505,09
9335;SUV - ESM BR COR & PROT MARROM CONH. SUVINIL 3.6L;111,1736;11,83;127,836
9334;SUV - TOQUE FOSCO PALHA (LATEX CLASSICA) SUVINIL 18L;375,5152;47,8;793,41
9349;SUV - PISO CERAMICA SUVINIL 3.6L;67,5923;68,64;277,402
9366;SUV - EPOXI MULTISSUPERFICIES AGUA BRANCO SUVINIL 3,6L;188,1102;47,03;390,504
9364;SUV - CATALISADOR EPOXI SUVINIL 900ML;50,2131;50,98;167,798
9382;SUV - SELADORA MADEIRA SUVINIL 900ML;36,2204;61,61;112,784
7710;SUV - ACR FC COMPLETO AREIA SUVINIL 18L;519,3058;16,53;634,94
9386;SUV - VERNIZ TINGE & PROTEGE MOGNO SUVINIL 3.6L;107,2397;49,71;237,122
9418;SUV - VERNIZ TRIPLA PROTEÇÃO F. SOLAR IMBUIA SUVINIL 900ML;43,2287;60,93;131,546
9438;SUV - ESM AGUA BR AMARELO SUVINIL 900ML;31,2287;63,85;105,364
9441;SUV - VERNIZ TRIPLA PROTEÇÃO F. SOLAR MOGNO SUVINIL 900ML;43,2287;60,93;131,546
9429;SUV - ESM AGUA BR PRETO SUVINIL 900ML;31,2287;64,36;107,378
9482;SUV - ESM ACET COR & PROT BRANCO SUVINIL 3.6L;116,4518;19,28;147,87
5307;SUV - AGUA RAZ SUVINIL 900ML;16,9734;45,39;54,802
9489;SUV - PISO AMARELO SUVINIL 18L;267,8237;42,39;502,546
9362;SUV - ESM FC COR & PROT BRANCO SUVINIL 3.6L;117,9504;19,28;149,778
8956;SUV - DILUENTE EPOXI SUVINIL 900ML;45,5513;47,03;159,954
9493;SUV - MASSA ACR SUVINIL 900ML;14,4192;59,08;76,744
5717;ESM FC BRANCO GLASURIT 3.6L;107,9669;52,44;255,778
9512;SUV - MASSA ACR SUVINIL 3.6L;46,2818;47,88;135,362
9519;SUV - MASSA CORRIDA SUVINIL 3.6L 5,7KG;26,2955;51,93;91,902
9521;SUV - TOQUE FOSCO BRANCO (LATEX CLASSICA) SUVINIL 3,6L;97,2011;47,02;201,718
9525;SUV - MASSA CORRIDA SUVINIL 900ML;8,1649;54,13;31,906
9540;SUV - CORANTE PRETO GLASU 50ML;3,8898;61,28;11,978
9550;SUV - ESM BR COR & PROT BRANCO SUVINIL 3.6L;105,8402;15,61;127,836
9588;SUV - ESM BR COR & PROT VERDE FOLHA SUVINIL 3.6L;111,1736;11,83;127,836
9603;SUV - ESM BR COR & PROT VERMELHO SUVINIL 900ML;34,4683;67,33;133,56
9602;SUV - ZARCAO SUVINIL 3.6L;120,1543;60,43;359,658
9606;SUV - ESMALTE GRAFITE CLARO SUVINIL 900ML;37,0909;66,58;139,284
9612;SUV - FUNDO BRANCO AGUA SECA RAP. SUVINIL 3.6L;104,584;33,9;166,95
9385;SUV - PISO CONCRETO SUVINIL 3.6L;67,5923;66,18;249,63
9140;SUV - PISO VERMELHO SUVINIL 18L;267,8237;54,98;679,566
9367;SUV - ACR RM GELO RENDE MUITO SUVINIL 3,6L;80,584;51,15;184,652
8885;SUV - ESM AGUA BR PLATINA SUVINIL 900ML;31,2287;63,85;105,364
9503;SUV - ACR TETOS BRANCO SUVINIL 900ML;36,9366;53,37;89,676
9666;SUV - ESM BR COR & PROT ALUMINIO SUVINIL 900ML;51,3388;60,1;152,004
9676;SUV - PISO CINZA ESCURO SUVINIL 3.6L;67,5923;66,18;249,63
9680;SUV - ESM BR COR & PROT MARROM SUVINIL 3.6L;111,1736;11,83;127,836
9695;SUV - ESM FC COR & PROT BRANCO SUVINIL 900ML;37,719;65,81;137,27
9694;SUV - CORANTE AZUL GLASU 50ML;3,8898;61,28;11,978
6039;SUV - VERNIZ AGUA PROTECAO TRIPLA IMBUIA SUVINIL 900ML;42,7129;64,8;137,27
9381;SUV - VERNIZ MARIT MADEIRA PROTEGIDA FOSCO SUVINIL 3.6L;108,8595;48,46;233,624
9608;SUV - VERNIZ TINGE & PROTEGE IMBUIA SUVINIL 900ML;33,7961;63,19;111,3
9709;SUV - FUNDO BRANCO FSC SUVINIL 900ML;32,7383;51,44;75,578
9740;SUV - VERNIZ TRIPLA PROTEÇÃO F. SOLAR NATURAL SUVINIL 3,6L;124,5069;50,51;280,794
9744;SUV - MASSA MADEIRA SUVINIL 900ML;15,9863;57,68;77,168
9752;SUV - ESM BR COR & PROT MARROM SUVINIL 900ML;34,4463;60,32;102,714
9777;SUV - VERNIZ TINGE & PROTEGE IMBUIA SUVINIL 3.6L;107,2397;49,71;237,122
9776;SUV - PISO AZUL SUVINIL 18L;267,8237;42,63;505,09
9779;SUV - ESM ACET COR & PROT PLATINA SUVINIL 900ML;34,0826;68,51;139,072
9791;SUV - ESM FC COR & PROT PRETO SUVINIL 900ML;39,6088;66,93;137,27
10240;SUV - ACR FACHADA PROTEGIDA EMBORRACHADA BRANCO SUVINIL 18L;630,854;31,92;973,186
10247;SUV - VERNIZ MARIT MADEIRA PROTEGIDA BRILHANTE SUVINIL 900ML;30,9091;61,96;97,414
10391;SELF - COLORANTE SUVINIL YR 11 LARANJA 1900;416,3196;69,61;1787,054
10392;SELF - COLORANTE SUVINIL BO 6 AZUL 7080;318,8209;70,61;1436,512
10393;SELF - COLORANTE SUVINIL BI 8 AZUL INORGANICO 6100;220,1763;63,25;726,63
10394;SELF - COLORANTE SUVINIL PR 3 MAGENTA 4790;374,9201;64,41;1291,716
10395;SELF - COLORANTE SUVINIL CB 7 PRETO 0060;156,6171;63,13;514,524
10396;SELF - COLORANTE SUVINIL RI 12 VERMELHO 3390;186,3912;63,5;620,63
10397;SELF - COLORANTE SUVINIL GI 2 VERDE OXIDO 9100;474,6226;70,59;2136,43
10398;SELF - COLORANTE SUVINIL GO 5 VERDE 8735;389,8623;69,77;1686,248
10399;SELF - COLORANTE SUVINIL RB 10 VERMELHO 3590;445,8623;62,89;1452,412
10400;SELF - COLORANTE SUVINIL RY 9 VERMELHO ALARANJADO 3450;394,0826;63,17;1296,91
10401;SELF - COLORANTE SUVINIL WI 14 BRANCO 0022;156,6061;69,59;671,616
10402;SELF - COLORANTE SUVINIL YG 13 AMARELO ESVERDEADO 0960;394,0826;70,51;1767,338
10403;SELF - COLORANTE SUVINIL YM 4 AMARELO 1250;317,2452;65,86;1156,884
10404;SELF - COLORANTE SUVINIL YI 1 AMARELO OXIDO 1990;156,6171;66,02;574,626
10512;SELF - ESM COR & PROT AC A2 0,8L;37,2342;69,23;156,986
10513;SELF - ESM COR & PROT AC A2 3,2L;120,1212;67,75;473,926
10514;SELF - ESM COR & PROT AC B2 0,8L;32,3306;62,76;104,834
10515;SELF - ESM COR & PROT AC B2 3,2L;104,2314;59,89;306,552
10516;SELF - ESM COR & PROT AC C2 0,8L;26,7107;58,54;75,26
10517;SELF - ESM COR & PROT AC C2 3,2L;86,1928;47,55;181,048
10518;SELF - ESM COR & PROT BR A2 0,8L;33,8623;67,16;130,274
10519;SELF - ESM COR & PROT BR A2 3,2L;109,1901;57,52;298,178
10520;SELF - ESM COR & PROT BR B2 0,8L;29,3664;65,91;107,272
10521;SELF - ESM COR & PROT BR B2 3,2L;94,7658;65,98;347,256
10522;SELF - ESM COR & PROT BR C2 0,8L;24,2755;69,21;102,29
10523;SELF - ESM COR & PROT BR C2 3,2L;75,8567;64,31;260,336
10525;SELF - ESM AGUA COR E PROT + PRATICO (BASE NOVA) BR A2 3,2L;103,8457;61,79;325,42
10546;SELF - ESM AGUA COR E PROT + PRATICO (BASE NOVA) BR A2 0,8;32,1983;67,45;125,398
10547;SELF - ESM AGUA COR E PROT + PRATICO (BASE NOVA) BR B2 0,8;27,9449;68,18;112,36
10548;SELF - ESM AGUA COR E PROT + PRATICO (BASE NOVA) BR B2 3,2L;90,1377;60,46;270,088
10549;SELF - ESM AGUA COR E PROT + PRATICO (BASE NOVA) BR C2 0,8;23,0744;67,45;89,888
10550;SELF - ESM AGUA COR E PROT + PRATICO (BASE NOVA) BR C2 3,2L;74,4793;51,8;173,522
10584;SELF - ESM AGUA COR E PROT + PRATICO (BASE NOVA) AC A2 0,8;35,416;67,43;137,8
10585;SELF - ESM AGUA COR E PROT + PRATICO (BASE NOVA) AC A2 3,2L;114,2479;60,45;342,168
10586;SELF - ESM AGUA COR E PROT + PRATICO (BASE NOVA) AC B2 0,8;30,7328;67,42;119,568
10587;SELF - ESM AGUA COR E PROT + PRATICO (BASE NOVA) AC B2 3,2L;99,1405;60,46;297,012
10588;SELF - ESM AGUA COR E PROT + PRATICO (BASE NOVA) AC C2 0,8;25,3994;59,33;73,352
10589;SELF - ESM AGUA COR E PROT + PRATICO (BASE NOVA) AC C2 3,2L;81,9835;51,78;190,906
10596;SELF - MASSA P/ EFEITO (MARMORATTO) SUVINIL 2,88L 3,7KG;93,0722;49,31;288,85
10598;SELF - EPOXI MULTISSUPERFICIES AGUA A2 0,8;54,0826;56,78;144,478
10599;SELF - EPOXI MULTISSUPERFICIES AGUA A2 3,2L;178,6777;56,68;475,94
10600;SELF - EPOXI MULTISSUPERFICIES AGUA B2 0,8;48,0992;66,7;181,472
10601;SELF - EPOXI MULTISSUPERFICIES AGUA B2 3,2L;155,1185;65,27;552,472
10602;SELF - EPOXI MULTISSUPERFICIES AGUA C2 0,8;39,7355;66,71;149,99
10603;SELF - EPOXI MULTISSUPERFICIES AGUA C2 3,2L;128,2094;61,76;401,316
10646;SUV - FUNDO GESSO DRYWALL SUVINIL 18L;224,3306;36,19;373,12
10647;SUV - FUNDO GESSO DRYWALL SUVINIL 3.6L;55,1074;60,53;165,466
10787;GLA - ACR MAXIMA EFICIENCIA GLASURIT STD BRANCO BALDE 20L;203,9449;53,47;496,398
10788;GLA - ACR MAXIMA EFICIENCIA GLASU STD BRANCO 3,6L;50,2039;48,61;108,12
10789;GLA - ACR MAXIMA EFICIENCIA GLASURIT STD PALHA 18L;193,9174;55,71;502,228
10790;GLA - ACR MAXIMA EFICIENCIA GLASURIT STD PALHA 3,6L;50,2039;62,6;161,862
10791;GLA - ACR MAXIMA EFICIENCIA GLASURIT STD GELO 18L;193,9174;55,71;502,228
10792;GLA - ACR MAXIMA EFICIENCIA GLASURIT STD GELO 3,6L;50,2039;62,6;161,862
11064;SUV - SEMPRE BRANCO ESM ACET SUVINIL 3,6L;173,7217;56,82;438,734
11065;SUV - SEMPRE BRANCO ESM ACET SUVINIL 900ML;49,9614;62,27;159,212
11135;SELF - TESTE SUA COR BASE A2 0,2L;11,1736;69,01;46,64
11136;SELF - TESTE SUA COR BASE B2 0,2L;9,5868;71,48;45,156
11137;SELF - TESTE SUA COR BASE C2 0,2L;7,6694;72,04;37,206
11209;SELF - LOUSA & COR AC C2 800ML;21,9945;69,03;91,902
11263;SUV - SEMPRE BRANCO ESM BR SUVINIL 3,6L;157,5096;19,29;200,022
11264;SUV - SEMPRE BRANCO ESM BR SUVINIL 900ML;47,5923;55,47;122,43
11265;SUV - MASSA ACRILICA SUVINIL 25KG;154,1031;40,28;345,242
11266;SUV - MASSA CORRIDA SUVINIL LATA 25KG;74,9828;24,43;112,89
12509;SUV - VERNIZ PROTEÇÃO TRIPLA F. SOLAR NATURAL FOSCO  SUVINIL 3,6L;134,6336;55,65;348,104
13138;SUV - CONTRA FERRUGEM MARROM SUVINIL 900ML;37,8953;56,13;99,322
13139;SUV - CONTRA FERRUGEM MARROM SUVINIL 3,6L;122,2369;56,13;320,438
13238;SUV - ACR RM BRANCO RENDE MUITO SUVINIL BALDE 20L;314,4022;28,71;459,934
13311;SUV - CONTRA FERRUGEM VERDE COLONIAL SUVINIL 3,6L;140,6612;50,91;320,438
13312;SUV - EFEITO CIMENTO QUEIMADO PEDRA ROSADA SUVINIL 5KG;160,0687;33,39;295,846
13313;SUV - EFEITO CIMENTO QUEIMADO SELVA DE PEDRA SUVINIL 5KG;160,0687;42,48;384,674
